"Functional Block","Reference","Manufacturer","MPN","Function","Interface","Voltage","Package","Preferred Supplier","JLCPCB/LCSC Part Number","Assembly Type","Status","Notes"
"Compute","MCU_MAIN","Espressif Systems","ESP32-S3-WROOM-1-N16R8","Main processor; integrated Wi-Fi/BLE","USB; SPI; I2C; UART; I2S","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","LOCKED","Includes 16 MB Flash; 8 MB PSRAM and PCB antenna. No bare SoC substitution."
"User interface","DISPLAY","TBD","TBD","2.8-inch IPS LCD; 320 x 240","TBD","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Portrait/landscape; serial interface preferred; no assumed footprint."
"User interface","TOUCH","TBD","TBD","Capacitive touchscreen/controller","TBD","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","May be integrated with panel; controller and connector not selected."
"User interface","BUTTON_1","TBD","TBD","First physical button","GPIO","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Mandatory independent control; exact switch and boot behavior TBD."
"User interface","BUTTON_2","TBD","TBD","Second physical button","GPIO","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Mandatory independent control; exact switch TBD."
"LoRa","RADIO_LORA","Semtech","SX1262","915 MHz class LoRa transceiver","SPI","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","LOCKED","Direct PCB integration; no E220/E32; use Semtech RF reference; regional settings configurable."
"LoRa","LORA_RF_SUPPORT","TBD","TBD","Matching/filter/switch and RF clock support","RF; control","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","OPEN","Select exact Semtech 915 MHz reference revision; values and topology TBD."
"LoRa","LORA_UFL","TBD","TBD","PCB U.FL RF connector","RF","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","U.FL family locked; optional U.FL-to-SMA pigtail in enclosure."
"LoRa","LORA_ANTENNA","TBD","TBD","915 MHz class antenna","RF","TBD","TBD","TBD","TBD","Manual/final assembly target","REQUIRED - MPN TBD","Mechanical selection and regional operating configuration TBD."
"GNSS","GNSS_RX","Hangzhou Zhongke Microelectronics","ATGM332D-5NR32","GNSS receiver module","UART","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","LOCKED","Galileo and configurable higher rate unverified; exact primary manufacturer page linked in source index."
