Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","2S 21700 holder (MPN TBD)","BatteryHolder_2S_21700_TBD",37.350000,-42.000000,180.000000,bottom
"J2","BM12B-GHS-TBT (expansion)","JST_GH_BM12B-GHS-TBT_1x12-1MP_P1.25mm_Vertical",4.200000,-58.300000,90.000000,bottom
"C1","1uF 25V X7R","C_0603_1608Metric",1.650000,-77.400000,90.000000,top
"C2","1uF 25V X7R","C_0603_1608Metric",15.150000,-78.150000,90.000000,top
"C3","100nF","C_0402_1005Metric",1.150000,-44.100000,90.000000,top
"C9","TBD (O06)","C_0402_1005Metric",35.100000,-59.100000,90.000000,top
"C10","1uF 25V","C_0603_1608Metric",27.800000,-75.300000,0.000000,top
"C11","10uF 25V","C_0805_2012Metric",31.700000,-75.650000,0.000000,top
"C12","47nF","C_0402_1005Metric",46.250000,-70.050000,90.000000,top
"C13","4.7uF 10V","C_0603_1608Metric",17.600000,-82.550000,0.000000,top
"C14","22uF 16V","C_0805_2012Metric",44.750000,-79.850000,90.000000,top
"C15","22uF 16V","C_0805_2012Metric",44.900000,-75.450000,90.000000,top
"C16","10uF 16V","C_0805_2012Metric",47.250000,-75.450000,90.000000,top
"C20","10uF 25V X7R","C_0805_2012Metric",25.500000,-47.400000,90.000000,top
"C21","100nF 25V","C_0402_1005Metric",27.200000,-47.400000,90.000000,top
"C22","22uF 6.3V X7R","C_0805_2012Metric",21.900000,-45.150000,0.000000,top
"C23","22uF 6.3V X7R","C_0805_2012Metric",18.300000,-47.650000,90.000000,top
"C24","3.3nF","C_0402_1005Metric",18.300000,-42.600000,0.000000,top
"C25","3.3nF","C_0402_1005Metric",27.100000,-44.550000,90.000000,top
"C26","1uF","C_0402_1005Metric",55.650000,-37.000000,0.000000,top
"C27","1uF","C_0402_1005Metric",58.300000,-28.500000,90.000000,top
"C28","1uF","C_0402_1005Metric",32.150000,-54.050000,90.000000,top
"C29","1uF","C_0402_1005Metric",31.150000,-51.550000,90.000000,top
"C30","100nF","C_0402_1005Metric",30.250000,-44.200000,0.000000,top
"C31","2.2uF","C_0402_1005Metric",29.900000,-45.400000,0.000000,top
"C32","10nF","C_0402_1005Metric",27.000000,-42.650000,0.000000,top
"C33","10uF","C_0603_1608Metric",7.350000,-39.700000,90.000000,top
